Tool,Link,Installation commands,Group,Contributors
,,,,
,https://github.com/fridaruh/abtesting_prompting,,prompt,
,https://github.com/aws-samples/amazon-bedrock-serverless-prompt-chaining,,prompt,
dapp-scratch,https://github.com/okwme/dapp-scratch.git,,sol,
ape,https://github.com/ApeWorX/ape.git,,sol,
Brownie,https://github.com/eth-brownie/brownie.git,,sol,
slither,https://github.com/crytic/slither.git,,sol,
solidity-coverage,https://github.com/sc-forks/solidity-coverage.git,,sol,
foundry,https://github.com/foundry-rs/foundry.git,,sol,
Mythril,https://github.com/Consensys/mythril,,sol,
,,,,
,,,,
,,,,
,https://github.com/psf/black.git,,Python,
Code-chunker,https://github.com/CintraAI/code-chunker.git,,,
Promptflow,https://github.com/microsoft/promptflow,,,
HTMLawed,https://github.com/kesar/HTMLawed.git,,html,
htmlpurifier,https://github.com/ezyang/htmlpurifier.git,,html,
Aether,https://github.com/codecombat/aether.git,,JavaScript,
Closure Compiler,https://github.com/google/closure-linter.git,,JavaScript,
Complexity-report,https://github.com/escomplex/complexity-report.git,,JavaScript,
DeepScan,https://github.com/deepscan/atom-deepscan.git,,JavaScript,
Es6-plato,https://github.com/the-simian/es6-plato.git,,JavaScript,
Escomplex,https://github.com/escomplex/escomplex.git,,JavaScript,
Esprima,https://github.com/jquery/esprima.git,,JavaScript,
Flow,https://github.com/facebook/flow.git,,JavaScript,
Hegel,https://github.com/JSMonk/hegel.git,,JavaScript,
JSHint,https://github.com/jshint/jshint.git,,JavaScript,
JSlint,https://github.com/jslint-org/jslint.git,,JavaScript,
JSprime,https://github.com/dpnishant/jsprime.git,,JavaScript,
NodeJSscan,https://ajinabraham.github.io/nodejsscan/.git,,JavaScript,
Plato,https://github.com/es-analysis/plato.git,,JavaScript,
Polymer Analyzer,https://github.com/Polymer/tools/tree/master/packages/analyzer.git,,JavaScript,
retire.js,https://github.com/RetireJS/retire.js.git,,JavaScript,
RSLint,https://github.com/rslint/rslint.git,,JavaScript,
StandardJS,https://github.com/standard/standard.git,,JavaScript,
Tern,https://github.com/ternjs/tern.git,,JavaScript,
TypL,https://github.com/getify/TypL.git,,JavaScript,
XO,https://github.com/xojs/xo.git,,JavaScript,
Yardstick,https://github.com/calmh/yardstick.git,,JavaScript,
JSONlint,https://github.com/Seldaek/jsonlint.git,,JSON,
Aider,https://github.com/paul-gauthier/aider.git,,llm,
Ollama,https://github.com/ollama/ollama.git,,llm,
,https://github.com/jxddk/prettier-plugin-nginx.git,,nginx,
Perl Critic,https://github.com/Perl-Critic/Perl-Critic.git,,Perl,
Alien-Astyle,https://github.com/wbraswell/alien-astyle.git,,Perl,
Perl-Analyzer,https://github.com/technix/Perl-Analyzer.git,,Perl,
Perltidy,https://github.com/perltidy/perltidy.git,,Perl,
Zarn,https://github.com/htrgouvea/zarn.git,,Perl,
arkitect,https://github.com/phparkitect/arkitect.git,,php,
CakeFuzzer,https://github.com/Zigrin-Security/CakeFuzzer.git,,php,
churn-php,https://github.com/bmitch/churn-php.git,,php,
cognitive-complexity,https://github.com/TomasVotruba/cognitive-complexity.git,,php,
Composer,https://github.com/composer/composer.git,,php,
composer-dependency-analyser,https://github.com/shipmonk-rnd/composer-dependency-analyser.git,,php,
composer-normalize,https://github.com/ergebnis/composer-normalize.git,,php,
ComposerRequireChecker,https://github.com/maglnet/ComposerRequireChecker.git,,php,
dephpend,https://github.com/mihaeu/dephpend.git,,php,
deprecation-detector,https://github.com/qossmic/deprecation-detector.git,,php,
deptrac,https://github.com/qossmic/deptrac.git,,php,
DesignPatternDetector ,https://github.com/Halleck45/DesignPatternDetector.git,,php,
easy-coding-standard,https://github.com/easy-coding-standard/easy-coding-standard.git,,php,
Enlightn,https://github.com/enlightn/enlightn.git,,php,
Exakat,https://github.com/exakat/exakat.git,,php,
GrumPHP,https://github.com/phpro/grumphp.git,,php,
Infection,https://github.com/infection/infection.git,,php,
larastan,https://github.com/larastan/larastan.git,,php,
Mondrian,https://github.com/Trismegiste/Mondrian.git,,php,
parse,https://github.com/psecio/parse.git,,php,
PestPHP,https://github.com/pestphp/pest.git,,php,
Phan,https://github.com/phan/phan.git,,php,
php,,,php,
PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer.git,,php,
PHP_Depend,https://github.com/pdepend/pdepend.git,,php,
php-assumptions ,https://github.com/rskuipers/php-assumptions.git,,php,
PHP-CS-Fixer,https://github.com/PHP-CS-Fixer/PHP-CS-Fixer.git,,php,
PHP-Parallel-Lint,https://github.com/php-parallel-lint/PHP-Parallel-Lint.git,,php,
PHP-Parser,https://github.com/nikic/PHP-Parser.git,,php,
php-refactoring-browser,https://github.com/QafooLabs/php-refactoring-browser.git,,php,
php-semver-checker,https://github.com/tomzx/php-semver-checker.git,,php,
php-semver-checker-git,https://github.com/tomzx/php-semver-checker-git.git,,php,
php-speller,https://github.com/mekras/php-speller.git,,php,
PHP-Token-Reflection,https://github.com/Andrewsville/PHP-Token-Reflection.git,,php,
phpat,https://github.com/carlosas/phpat.git,,php,
PhpCodeAnalyzer,https://github.com/wapmorgan/PhpCodeAnalyzer.git,,php,
phpDocumentor,https://github.com/phpdocumentor/phpdocumentor.git,,php,
phpinsights,https://github.com/nunomaduro/phpinsights.git,,php,
PHPlint,https://github.com/overtrue/phplint.git,,php,
phploc,https://github.com/sebastianbergmann/phploc.git,,php,
phpmd,https://github.com/phpmd/phpmd.git,,php,
PhpMetrics,https://github.com/phpmetrics/PhpMetrics.git,,php,
phpmnd,https://github.com/povils/phpmnd.git,,php,
phpstan,https://github.com/phpstan/phpstan.git,,php,
ProgPilot,https://github.com/designsecurity/progpilot.git,,php,
Psalm,https://github.com/vimeo/psalm.git,,php,
rector,https://github.com/rectorphp/rector.git,,php,
Reflection,https://github.com/phpDocumentor/Reflection.git,,php,
security-checker,https://github.com/enlightn/security-checker.git,,php,
type-coverage,https://github.com/TomasVotruba/type-coverage.git,,php,
xdebug,https://github.com/xdebug/xdebug.git,,php,
php-coupling-detector,https://github.com/akeneo/php-coupling-detector.git,,php,
QuantifiedCode,https://github.com/quantifiedcode/quantifiedcode.git,,Python,
AutoFlake,https://github.com/PyCQA/autoflake.git,,Python,
AutoPep8,https://github.com/hhatto/autopep8.git,,Python,
Bandit,https://github.com/PyCQA/bandit/blob/main/doc/source/index.rst.git,,Python,
BellyButton,https://github.com/hchasestevens/bellybutton.git,,Python,
Black,https://github.com/psf/black.git,,Python,
Bowler,https://github.com/facebookincubator/bowler.git,,Python,
Ciocheck,https://github.com/ContinuumIO/ciocheck.git,,Python,
Cohesion,https://github.com/mschwager/cohesion.git,,Python,
Deal,https://github.com/life4/deal/blob/master/docs/index.md.git,,Python,
Dlint,https://github.com/dlint-py/dlint.git,,Python,
Dodgy,https://github.com/landscapeio/dodgy.git,,Python,
Fixit,https://github.com/Instagram/Fixit.git,,Python,
Flake8,https://github.com/PyCQA/flake8.git,,Python,
flakeheaven,https://github.com/flakeheaven/flakeheaven.git,,Python,
InspectorTyger,https://github.com/three-headed-giant/it.git,,Python,
Jedi,https://github.com/davidhalter/jedi/blob/master/docs/index.rst.git,,Python,
Linty Fresh,https://github.com/lyft/linty_fresh.git,,Python,
mccabe 0.7.0,https://github.com/pycqa/mccabe.git,,Python,
MonkeyType,https://github.com/Instagram/MonkeyType.git,,Python,
Multilint,https://github.com/adamchainz/multilint.git,,Python,
Mypy,https://github.com/python/mypy.git,,Python,
Prospector,https://github.com/landscapeio/prospector.git,,Python,
Pyanalyze,https://github.com/quora/pyanalyze/blob/master/docs/search.rst.git,,Python,
Pycodestyle,https://github.com/pycqa/pycodestyle.git,,Python,
Pydocstyle,https://github.com/PyCQA/pydocstyle/blob/07f6707e2c5612960347f7c00125620457f490a7/docs/index.rst.git,,Python,
Pyer,https://github.com/facebook/pyre-check.git,,Python,
Pyflakes,https://github.com/PyCQA/pyflakes.git,,Python,
Pylint,https://github.com/pylint-dev/pylint.git,,Python,
Pylyzer,https://github.com/mtshiba/pylyzer.git,,Python,
Pyright,https://github.com/Microsoft/pyright.git,,Python,
Pyroma,https://github.com/regebro/pyroma.git,,Python,
Pytype,https://github.com/google/pytype.git,,Python,
Pyupgrade,https://github.com/verhovsky/pyupgrade-docs.git,,Python,
Radon,https://github.com/rubik/radon.git,,Python,
Refurb,https://github.com/dosisod/refurb.git,,Python,
Ruff,https://github.com/astral-sh/ruff.git,,Python,
Unimport,https://github.com/hakancelikdev/unimport.git,,Python,
Vulture,https://github.com/jendrikseipp/vulture.git,,Python,
Warehouse,https://github.com/pypi/warehouse.git,,Python,
Wemake,https://github.com/wemake-services/wemake-python-styleguide.git,,Python,
Wily,https://github.com/tonybaloney/wily.git,,Python,
Xenon,https://github.com/rubik/xenon/blob/master/docs/index.rst,,Python,
Yapf,https://github.com/google/yapf.git,,Python,
shellharden,https://github.com/anordal/shellharden.git,,sh,
beautysh,https://github.com/lovesegfault/beautysh.git,,sh,
BeautifyBash,https://arachnoid.com/linux/beautify_bash/beautify_bash.rb.txt,,sh,
ShellCheck,https://github.com/koalaman/shellcheck.git,,sh,
shfmt,https://github.com/mvdan/sh.git,,sh,
,https://github.com/89luca89/shell-funcheck.git,,sh,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
zpa-cli,https://github.com/felipebz/zpa-cli.git,,sql,
,https://github.com/Tinkoff/linters.git,,ts,
YAML-Lint,https://github.com/j13k/yaml-lint.git,,yml,
,https://github.com/duolingo/splinter.git,,,
,https://github.com/mvdan/sh.git,,,
,,,,
ArchUnit,https://github.com/TNG/ArchUnit.git,,Java,
,,,,
Slither,,,,
,,,,
,https://github.com/muravjev/configs.git,,,
,https://github.com/prettier/eslint-plugin-prettier.git,,,
,,,,
,,,,
,,,,
prettier-plugin-sh,https://github.com/un-ts/prettier/tree/master/packages/sh.git,,,
,,,,
MariaDB,,,SQL,
Nginx,https://github.com/nginx/nginx.git,,,
Opcache,,,,
Python,,,,
,https://www.promptingguide.ai/tools,,,
,,,,
SecRMU,,,,
CyberMetric-80,,,,
CyberMetric-500,,,,
LinkedIn Sec Test Assessment,,,,
CTI Bench RCM,,,,
CTI Bench MCQ,,,,
SecQA-v1,,,,
SecQA-v2,,,,
SecEval,,,,
CISSP Test,,,,
MITRE MC,,,,
SIEM Rule TTP Mapping,,,,
CWE Impact Classification,,,,
BRON MCQ-B Classification,,,,
BRON Yes/No Tasks,,,,
CWE Summarization,,,,